particles,inertia,cognition,social,epoch_stop,solution_found,fitness
40,0.5,1,1,302,[1. 1.],6.933347799794049e-29
40,0.5,1,1,238,[1. 1.],2.6851120350966512e-18
40,0.5,1,1,248,[1. 1.],7.667184051543953e-22
40,0.5,1,1,191,[1. 1.],7.010053395396452e-20
40,0.5,1,1,722,[1. 1.],5.75607131672268e-20
40,0.5,1,1,202,[1.         1.00000001],1.0206188698035926e-17
40,0.5,1,1,337,[1. 1.],8.421139467040877e-27
40,0.5,1,1,189,[0.99999999 0.99999999],5.1534283795245797e-17
40,0.5,1,1,439,[1. 1.],2.0350686605090847e-21
40,0.5,1,1,247,[1. 1.],2.997903363404003e-20
40,0.5,1,1,298,[0.99999995 0.9999999 ],2.6855155626305615e-15
40,0.5,1,1,614,[1. 1.],3.57452597678271e-29
40,0.5,1,1,345,[1. 1.],2.5819699874107412e-21
40,0.5,1,1,312,[1.00000822 1.00001657],6.938190157014202e-11
40,0.5,1,1,631,[1. 1.],0.0
40,0.5,1,1,170,[0.9999997  0.99999939],1.0122814271477454e-13
40,0.5,1,1,421,[1.0000007 1.0000014],4.957198781098837e-13
40,0.5,1,1,227,[0.99999944 0.99999887],3.2772072172626183e-13
40,0.5,1,1,273,[0.99999993 0.99999987],4.286665970579682e-15
40,0.5,1,1,212,[1.00000002 1.00000004],5.11579376715101e-16
40,0.5,1,1,379,[1.0000002  1.00000039],3.9095173712921554e-14
40,0.5,1,1,414,[1.00000098 1.00000196],9.631557624665447e-13
40,0.5,1,1,319,[1. 1.],1.1281927774932724e-23
40,0.5,1,1,212,[1.00000004 1.00000007],1.3861196395661515e-15
40,0.5,1,1,571,[1. 1.],0.0
40,0.5,1,1,340,[1.00000003 1.00000007],1.054689620375856e-15
40,0.5,1,1,245,[1. 1.],1.4801306542293205e-21
40,0.5,1,1,441,[1. 1.],3.139268565433982e-23
40,0.5,1,1,304,[1. 1.],1.2476201555679115e-23
40,0.5,1,1,655,[1. 1.],1.8889603145132292e-21
40,0.5,1,1,229,[1.00000001 1.00000002],8.898544638352824e-17
40,0.5,1,1,401,[1. 1.],9.884867030981552e-22
40,0.5,1,1,190,[1. 1.],1.2307934303878543e-19
40,0.5,1,1,292,[1. 1.],5.60469802264192e-24
40,0.5,1,1,375,[1. 1.],2.9908182107257373e-25
40,0.5,1,1,330,[1.00000355 1.00000714],1.2790428302074238e-11
40,0.5,1,1,287,[0.99999987 0.99999974],2.489126796671316e-14
40,0.5,1,1,214,[0.99999757 0.99999514],5.9107778584409964e-12
40,0.5,1,1,309,[1. 1.],1.3074013649357422e-27
40,0.5,1,1,813,[1.00000014 1.00000028],1.9699960025682937e-14
40,0.5,1,1,201,[0.99999998 0.99999997],2.6459797110502735e-16
40,0.5,1,1,450,[1. 1.],0.0
