particles,inertia,cognition,social,epoch_stop,solution_found,fitness
40,0.5,1,1,343,[0.99999995 0.9999999 ],2.578266439999322e-15
40,0.5,1,1,321,[1.00000001 1.00000002],7.797205077966046e-17
40,0.5,1,1,425,[1. 1.],6.713968698015683e-19
40,0.5,1,1,217,[0.99999989 0.99999977],1.4352499370722483e-14
40,0.5,1,1,244,[1. 1.],1.02253500785681e-18
40,0.5,1,1,253,[1.00000004 1.00000008],1.610324343244e-15
40,0.5,1,1,424,[1. 1.],6.983391163469007e-28
40,0.5,1,1,306,[1. 1.],7.517381464012491e-25
40,0.5,1,1,547,[0.99999997 0.99999994],1.1325385265360778e-15
40,0.5,1,1,226,[1. 1.],1.2058745725580132e-19
40,0.5,1,1,402,[1.0000009 1.0000018],8.058456539969603e-13
40,0.5,1,1,406,[1.         1.00000001],1.2870681033569183e-17
40,0.5,1,1,374,[0.99999996 0.99999992],1.6897477340659286e-15
40,0.5,1,1,351,[1.00000006 1.00000011],5.070365951494101e-15
40,0.5,1,1,253,[1. 1.],7.114072031856696e-23
40,0.5,1,1,285,[1.00000001 1.00000002],4.697254101572498e-16
40,0.5,1,1,522,[1. 1.],7.101140911351403e-15
40,0.5,1,1,225,[1.00000001 1.00000002],1.5347561161240342e-16
40,0.5,1,1,392,[1.00000011 1.00000021],1.1518651694781402e-14
40,0.5,1,1,341,[1. 1.],2.7733391199176196e-30
40,0.5,1,1,315,[0.99999978 0.99999955],5.054619085271132e-14
40,0.5,1,1,198,[0.99999984 0.99999967],2.642424734644309e-14
40,0.5,1,1,394,[1.00000052 1.00000103],2.8321695627773917e-13
40,0.5,1,1,176,[0.99999983 0.99999966],2.945335522993293e-14
40,0.5,1,1,383,[1. 1.],3.311402408415411e-22
40,0.5,1,1,277,[1. 1.],2.1694146413613505e-21
40,0.5,1,1,470,[1. 1.],3.8951239790451866e-26
40,0.5,1,1,428,[1. 1.],1.0176951064179136e-24
40,0.5,1,1,225,[1. 1.],3.429144869965445e-20
40,0.5,1,1,443,[1. 1.],2.7026490502075166e-18
40,0.5,1,1,181,[0.99999877 0.99999753],1.5159630456141681e-12
40,0.5,1,1,337,[0.99999996 0.99999993],1.5129642021913565e-15
40,0.5,1,1,222,[1. 1.],6.539841702306646e-18
40,0.5,1,1,366,[1. 1.],2.8188174441416767e-25
40,0.5,1,1,312,[1. 1.],1.1220683560153807e-25
40,0.5,1,1,256,[0.9999999 0.9999998],1.0118740555259075e-14
40,0.5,1,1,175,[1.00000005 1.00000011],5.780516373620285e-15
40,0.5,1,1,289,[1. 1.],1.1245481649228463e-22
40,0.5,1,1,252,[1. 1.],1.639720184868199e-18
40,0.5,1,1,219,[1.00000093 1.00000188],9.361402101414718e-13
40,0.5,1,1,357,[1. 1.],3.569747132607186e-21
